age,number_of_dependants,income_level,income_lakhs,insurance_plan,normalized_risk_score,lifestyle_risk_score,gender_Male,region_Northwest,region_Southeast,region_Southwest,marital_status_Unmarried,bmi_category_Obesity,bmi_category_Overweight,bmi_category_Underweight,smoking_status_Occasional,smoking_status_Regular,employment_status_Salaried,employment_status_Self-Employed,annual_premium_amount
0.0,0.0,1.0,0.09489051094890512,0.5,0.0,0.25,1,0,0,1,1,0,0,0,0,0,0,0,9222
0.6111111111111112,0.006578947368421052,0.0,0.008342022940563087,0.5,0.42857142857142855,0.125,0,0,0,0,0,1,0,0,0,0,1,0,23239
0.1111111111111111,0.006578947368421052,0.6666666666666667,0.03962460896767466,0.0,0.35714285714285715,0.5,0,1,0,0,0,1,0,0,0,0,0,1,13831
0.0,0.0021929824561403508,0.6666666666666667,0.04066736183524505,0.0,0.0,0.625,0,0,0,0,1,0,0,0,0,0,1,0,7079
0.25925925925925924,0.006578947368421052,0.3333333333333333,0.01251303441084463,0.5,0.0,0.125,0,0,0,1,0,0,1,0,1,0,0,1,18351
0.1111111111111111,0.0,1.0,0.7497393117831074,0.5,0.0,0.625,0,0,0,1,1,0,0,1,0,0,1,0,11150
0.3518518518518518,0.0,0.3333333333333333,0.023983315954118876,0.5,0.42857142857142855,0.125,1,0,0,0,1,0,0,0,1,0,1,0,18285
0.7777777777777779,0.008771929824561403,0.0,0.0,0.5,0.0,0.25,0,0,1,0,0,0,0,0,0,0,1,0,18375
0.20370370370370366,0.006578947368421052,0.0,0.0010427528675703858,0.0,1.0,1.0,0,0,0,1,0,0,1,0,0,1,1,0,24066
0.25925925925925924,0.0043859649122807015,0.6666666666666667,0.03649635036496351,1.0,0.42857142857142855,0.625,0,0,0,1,0,0,0,0,0,1,0,0,27969
0.6296296296296295,0.006578947368421052,0.3333333333333333,0.018769551616266946,1.0,0.42857142857142855,0.25,1,0,1,0,0,0,1,0,1,0,1,0,31479
0.7592592592592593,0.0043859649122807015,0.3333333333333333,0.018769551616266946,1.0,0.7857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,29682
0.48148148148148145,0.010964912280701754,0.0,0.0010427528675703858,0.0,0.7857142857142857,0.625,0,0,0,1,0,0,0,0,0,0,1,0,13535
0.7592592592592593,0.0,0.6666666666666667,0.03753910323253389,1.0,0.42857142857142855,0.25,1,0,0,0,1,1,0,0,0,1,0,1,34720
